,Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
0,Graduation,Single,58138,58,635,88,546,172,88
1,Graduation,Single,46344,38,11,1,6,2,1
2,Graduation,Together,71613,26,426,49,127,111,21
3,Graduation,Together,26646,26,11,4,20,10,3
4,PhD,Married,58293,94,173,43,118,46,27
5,Master,Together,62513,16,520,42,98,0,42
6,Graduation,Divorced,55635,34,235,65,164,50,49
7,PhD,Married,33454,32,76,10,56,3,1
8,PhD,Together,30351,19,14,0,24,3,3
9,PhD,Together,5648,68,28,0,6,1,1
11,Basic,Married,7500,59,6,16,11,11,1
12,Graduation,Divorced,63033,82,194,61,480,225,112
13,Master,Divorced,59354,53,233,2,53,3,5
14,Graduation,Married,17323,38,3,14,17,6,1
15,PhD,Single,82800,23,1006,22,115,59,68
16,Graduation,Married,41850,51,53,5,19,2,13
17,Graduation,Together,37760,20,84,5,38,150,12
18,Master,Married,76995,91,1012,80,498,0,16
20,Graduation,Married,37040,41,86,2,73,69,38
21,Graduation,Married,2447,42,1,1,1725,1,1
22,PhD,Married,58607,63,867,0,86,0,0
23,PhD,Married,65324,0,384,0,102,21,32
24,Graduation,Together,40689,69,270,3,27,39,6
25,Graduation,Single,18589,89,6,4,25,15,12
26,Graduation,Married,53359,4,173,4,30,3,6
28,Graduation,Married,38360,26,36,2,42,20,21
29,PhD,Married,84618,96,684,100,801,21,66
30,Master,Divorced,10979,34,8,4,10,2,2
31,Master,Together,38620,56,112,17,44,34,22
32,Graduation,Together,40548,31,110,0,5,2,0
33,PhD,Divorced,46610,8,96,12,96,33,22
34,Master,Married,68657,4,482,34,471,119,68
35,Master,Single,49389,55,40,0,19,2,1
36,PhD,Married,67353,37,702,17,151,0,8
38,Graduation,Widow,42429,99,55,0,6,2,0
39,PhD,Divorced,48948,53,437,8,206,160,49
40,Graduation,Married,80011,3,421,76,536,82,178
41,Master,Married,20559,88,13,1,29,3,0
42,Graduation,Together,21994,4,9,0,6,3,1
44,Master,Married,7500,19,3,1,10,3,2
45,Graduation,Single,79941,72,123,164,266,227,30
47,Graduation,Together,41728,92,13,6,15,3,5
49,PhD,Married,72550,39,826,50,317,50,38
50,Graduation,Widow,65486,29,245,19,125,37,67
51,Master,Married,79143,2,650,37,780,27,167
52,Graduation,Single,35790,54,12,6,20,30,1
53,Graduation,Divorced,82582,54,510,120,550,156,40
54,Graduation,Married,66373,57,328,9,124,12,24
55,Master,Together,82384,55,984,51,432,180,120
56,Graduation,Divorced,70287,30,295,35,482,121,120
57,Graduation,Single,27938,31,13,0,8,2,1
59,PhD,Married,55954,63,447,0,28,0,0
60,Master,Single,75777,12,712,26,538,69,13
61,Graduation,Together,66653,18,452,18,102,16,18
62,Graduation,Single,61823,26,523,7,134,37,14
63,PhD,Widow,67680,8,546,0,48,0,6
64,Graduation,Together,70666,29,398,40,367,119,122
65,Graduation,Married,25721,75,1,3,6,3,6
66,Graduation,Together,32474,0,10,0,1,0,0
68,Graduation,Together,69096,4,247,49,159,7,82
69,Graduation,Together,74854,90,856,59,487,58,29
70,Master,Married,66991,1,496,36,460,189,60
72,Graduation,Married,65031,29,258,107,291,84,37
73,PhD,Married,60631,88,565,6,65,0,6
74,Graduation,Married,28332,58,14,10,13,4,15
75,Graduation,Divorced,40246,68,2,1,6,2,1
76,Master,Married,75251,34,721,111,925,97,18
77,Graduation,Single,75825,40,1032,105,779,137,105
79,Graduation,Together,56046,9,577,0,64,0,0
80,Graduation,Single,29760,87,64,4,68,7,5
81,Graduation,Married,26304,5,4,1,5,2,0
83,Master,Together,38620,56,112,17,44,34,22
84,Graduation,Divorced,81361,18,163,23,424,27,65
85,Graduation,Married,29440,95,17,8,14,10,4
86,Master,Married,36138,48,130,0,16,0,0
87,Graduation,Single,50388,3,292,6,37,0,3
88,Graduation,Married,79593,70,350,60,568,110,133
89,Graduation,Together,54178,79,135,9,39,4,0
93,Master,Single,42394,69,15,2,10,0,1
94,PhD,Married,23626,84,27,2,14,0,0
95,Graduation,Married,30096,30,5,3,11,12,5
96,Graduation,Widow,47916,72,505,0,26,0,0
97,Graduation,Divorced,51813,37,51,2,7,0,1
99,PhD,Married,50150,32,135,46,92,65,61
101,PhD,Single,34554,43,41,1,6,2,0
102,Graduation,Together,85693,59,386,172,183,185,132
103,PhD,Married,65846,68,562,81,276,80,40
104,Graduation,Married,87195,35,217,76,690,50,26
105,Basic,Together,24594,94,1,3,6,10,0
106,Graduation,Married,49096,15,144,1,32,2,1
107,Graduation,Married,52413,56,295,106,271,75,98
108,Graduation,Single,38557,17,76,3,31,4,4
109,Master,Married,89058,18,454,194,106,31,22
110,Graduation,Together,77298,46,425,115,292,23,35
111,PhD,Single,68126,40,1332,17,311,23,51
112,Master,Together,57288,27,527,0,21,0,0
113,Graduation,Single,86037,95,490,44,125,29,20
114,PhD,Married,43974,19,378,0,101,0,0
115,Graduation,Single,50785,27,64,1,21,0,1
116,Graduation,Married,90765,25,547,99,812,151,82
119,Graduation,Together,21918,37,1,6,7,11,5
120,Master,Together,56129,65,320,48,133,39,72
121,Master,Single,32557,13,34,3,29,0,4
122,Master,Married,19510,63,9,0,7,3,4
123,Graduation,Divorced,30992,83,17,0,14,7,3
124,Graduation,Single,101970,69,722,27,102,44,72
126,Graduation,Single,79607,37,450,133,951,173,0
127,Master,Married,54348,51,70,0,16,0,0
129,PhD,Together,77376,72,492,19,110,16,12
130,Graduation,Married,62998,10,120,58,73,65,89
131,Master,Alone,61331,42,534,5,47,0,5
132,Graduation,Married,73448,10,236,106,189,23,41
134,PhD,Married,41551,51,220,0,33,3,0
135,PhD,Together,62981,21,796,14,590,38,44
136,Basic,Divorced,9548,31,0,1,3,10,6
137,PhD,Married,33762,61,53,1,34,2,0
138,PhD,Alone,35860,37,15,0,8,4,2
139,PhD,Divorced,36921,74,17,1,12,3,1
140,Master,Single,92859,46,962,61,921,52,61
141,Master,Together,65104,4,738,0,232,13,20
142,Graduation,Married,86111,73,399,28,756,36,40
143,PhD,Single,68352,47,614,16,132,43,33
144,Graduation,Together,41883,13,32,34,41,73,16
145,Graduation,Married,59809,36,598,16,141,32,41
146,Graduation,Married,23957,47,2,1,18,20,11
147,Graduation,Together,38547,49,6,1,10,0,1
149,Master,Married,49605,65,42,16,29,12,20
150,Master,Married,59354,59,295,21,78,39,13
151,Graduation,Married,65747,96,346,17,48,23,13
153,Graduation,Alone,34176,12,5,7,24,19,14
154,PhD,Together,61010,57,888,0,57,0,0
155,Graduation,Together,69372,10,997,26,269,34,13
156,Graduation,Single,49967,4,212,6,69,4,12
157,Graduation,Single,60199,49,8,1,7,2,0
158,Graduation,Together,55375,3,42,11,57,10,28
159,Graduation,Single,80317,64,536,11,387,149,91
160,Master,Single,30523,0,5,0,3,0,0
161,PhD,Married,70356,20,1349,16,249,43,16
162,Graduation,Married,23228,91,53,3,49,7,4
163,PhD,Divorced,74165,9,1001,12,240,16,12
164,PhD,Married,157243,98,20,2,1582,1,2
165,Graduation,Together,43482,83,18,1,32,6,3
166,Graduation,Divorced,62551,27,125,16,98,134,21
167,Graduation,Divorced,52332,63,212,5,33,7,0
168,Graduation,Single,66951,46,277,162,305,173,76
169,Graduation,Together,26091,84,15,10,19,8,17
170,Graduation,Together,33456,58,7,3,10,8,1
171,Graduation,Married,28718,78,12,4,6,11,8
172,Graduation,Married,50447,4,85,7,24,2,3
173,PhD,Together,53537,17,81,0,6,0,0
174,Graduation,Single,52074,77,59,0,12,0,0
175,PhD,Married,80427,56,1149,71,449,69,71
176,PhD,Married,83837,79,847,66,119,86,89
177,PhD,Married,38853,90,29,0,14,0,0
178,Graduation,Together,38285,96,2,0,5,2,0
180,PhD,Married,51650,81,152,3,22,2,5
182,Master,Married,66835,21,620,26,195,34,17
183,Master,Married,30477,16,47,1,6,0,0
184,Basic,Married,28249,80,1,9,7,2,14
185,Graduation,Married,25271,45,10,1,18,10,4
186,PhD,Single,32303,63,35,0,2,0,0
187,Graduation,Married,61286,34,356,0,107,19,9
188,Graduation,Married,74068,14,783,30,537,140,76
189,PhD,Married,45759,13,42,1,18,3,0
190,Basic,Together,24882,52,1,4,10,29,0
191,PhD,Together,66973,98,466,22,432,147,113
193,Graduation,Married,38872,93,23,3,21,3,19
194,Graduation,Married,51148,38,235,6,45,8,9
195,Graduation,Married,31353,24,10,0,10,3,1
196,Master,Married,69661,80,656,16,106,32,16
197,Graduation,Married,80067,82,519,17,813,27,173
198,Graduation,Married,86718,20,344,189,482,50,33
199,PhD,Single,46854,81,96,1,79,7,1
200,Graduation,Divorced,69142,50,448,4,34,6,4
201,Graduation,Single,75922,60,265,138,553,224,23
202,Graduation,Divorced,63693,63,587,43,337,42,87
203,PhD,Together,102160,54,763,29,138,76,176
204,PhD,Single,40637,72,22,0,13,0,0
205,Master,Single,18890,5,6,4,1,7,2
206,Graduation,Together,29604,88,7,6,13,7,6
207,Master,Divorced,48721,50,81,18,113,47,13
208,Graduation,Married,44794,99,54,0,7,0,0
209,Graduation,Divorced,64497,17,1170,48,320,42,32
210,Graduation,Together,46097,11,72,24,68,65,4
211,Graduation,Together,77972,18,613,22,319,33,102
212,PhD,Married,44377,70,224,0,30,0,0
213,Master,Together,46014,21,410,0,59,19,9
214,Graduation,Married,70951,66,239,10,554,254,87
215,Graduation,Married,41443,79,171,7,171,25,19
217,Master,Married,83790,81,1076,16,417,42,48
218,Master,Widow,44551,24,182,4,33,0,0
219,Graduation,Together,69508,48,824,32,162,42,32
221,Graduation,Married,72460,56,377,10,540,80,30
222,PhD,Together,77622,3,520,7,154,19,0
223,PhD,Married,30732,44,155,1,25,0,1
224,Graduation,Divorced,63887,38,897,23,207,15,11
225,Graduation,Together,42011,46,131,0,16,2,1
226,Graduation,Together,51369,84,297,7,79,0,11
227,Graduation,Divorced,51537,27,787,20,204,0,0
228,PhD,Married,79930,72,792,86,740,67,51
229,PhD,Together,34320,66,4,1,9,3,0
230,Graduation,Single,37070,30,231,7,137,4,15
232,Graduation,Together,38590,65,3,1,8,4,3
233,Graduation,Single,15033,37,0,4,5,6,0
234,PhD,Married,62745,89,562,21,464,28,10
236,Master,Together,23661,46,18,0,4,0,0
237,PhD,Single,79761,32,415,5,124,15,35
238,Graduation,Single,7500,54,5,3,10,12,7
240,Graduation,Widow,73455,98,901,61,757,186,163
241,Graduation,Together,64961,97,382,114,276,75,124
242,Graduation,Single,22804,75,14,1,7,2,1
243,Graduation,Married,73687,8,559,153,503,218,13
244,Graduation,Married,61074,37,789,0,133,0,28
245,PhD,Married,31686,31,11,0,5,0,0
246,Graduation,Married,80134,40,1218,16,272,104,0
247,Graduation,Married,75027,74,925,64,179,133,12
248,PhD,Married,67546,90,864,134,768,150,38
249,Master,Together,65176,57,960,28,183,220,70
250,Master,Single,31160,59,16,3,25,6,1
251,Graduation,Single,29938,52,3,3,7,0,2
252,Graduation,Divorced,102692,5,168,148,444,32,172
254,Graduation,Together,75702,77,650,28,353,45,42
255,PhD,Single,30899,35,24,0,8,0,0
256,PhD,Together,63342,48,918,21,118,13,10
257,Graduation,Single,45989,97,138,33,87,28,24
258,Graduation,Single,18701,95,12,4,2,10,6
259,PhD,Single,40737,24,11,0,4,0,0
260,Graduation,Divorced,15287,60,1,2,8,4,3
261,PhD,Divorced,69674,46,554,41,215,11,0
262,Master,Married,44159,85,167,2,62,24,13
263,PhD,Married,37717,31,9,0,6,4,1
264,Master,Together,43776,9,177,2,71,3,2
265,Master,Married,38179,30,38,4,22,4,2
266,Graduation,Married,80124,47,483,84,398,205,84
267,PhD,Married,38097,70,77,2,35,0,1
268,Graduation,Married,72940,13,182,74,298,162,149
269,Graduation,Together,22070,11,10,7,19,8,2
270,Graduation,Single,69267,31,778,44,499,95,73
271,Master,Single,31788,15,16,7,23,0,8
272,PhD,Together,61905,2,167,0,43,6,2
273,Graduation,Married,29315,55,13,2,14,8,7
274,Graduation,Divorced,33378,38,33,6,40,3,7
275,PhD,Together,66313,86,625,7,99,10,22
276,Graduation,Single,60714,56,216,162,224,101,92
277,Master,Together,77882,29,68,129,396,188,22
278,PhD,Single,69867,30,196,0,512,33,130
279,Master,Divorced,63841,64,635,15,100,20,7
280,Basic,Married,24480,46,4,19,9,28,25
281,Graduation,Together,51369,84,297,7,79,0,11
282,Graduation,Together,37760,20,84,5,38,150,12
283,PhD,Together,65640,74,204,7,149,20,15
284,Master,Married,44319,18,26,0,8,0,0
285,Graduation,Married,30631,75,15,6,20,4,5
286,Graduation,Together,75278,17,304,98,230,150,74
287,Master,Together,50898,88,285,28,242,55,114
288,Graduation,Widow,79946,19,395,183,565,166,141
289,Master,Divorced,35416,62,248,3,81,4,3
291,Graduation,Together,38361,74,39,0,56,20,8
292,Graduation,Married,82497,32,777,129,573,216,21
293,Graduation,Together,16626,76,8,3,22,21,1
294,Graduation,Together,29672,6,9,1,3,0,4
295,Master,Together,55951,62,1241,0,80,0,13
297,Master,Together,42386,43,65,4,16,0,4
298,Graduation,Single,68627,45,395,15,263,60,54
299,PhD,Divorced,57912,34,801,0,80,0,0
300,Graduation,Divorced,35246,53,36,0,12,2,2
302,PhD,Married,46377,89,37,0,46,4,3
303,Graduation,Single,39747,43,80,15,93,20,13
304,Graduation,Together,23976,68,14,1,21,2,3
305,Master,Married,80950,44,525,147,112,219,147
306,Graduation,Widow,27038,64,1,26,25,17,23
307,Graduation,Single,77457,85,675,11,400,15,45
308,Master,Married,64100,93,509,0,27,0,0
309,Master,Together,42670,12,154,2,46,20,4
310,Graduation,Divorced,12571,86,3,5,14,2,12
311,Graduation,Married,22574,28,25,0,8,2,0
313,Master,Single,70893,42,768,44,561,77,44
314,Graduation,Married,54198,13,185,0,28,3,2
315,Master,Together,28839,86,24,0,7,0,0
316,Graduation,Married,40321,59,44,4,21,6,0
317,Graduation,Single,66503,30,91,64,128,65,3
318,Graduation,Married,30833,33,11,0,7,3,1
320,Graduation,Married,64795,23,412,5,119,38,29
321,Graduation,Married,34421,81,3,3,7,6,2
322,PhD,Divorced,47025,6,16,0,3,0,0
323,PhD,Divorced,64325,41,731,60,353,78,12
324,Graduation,Single,40464,78,424,17,118,7,23
325,Graduation,Married,62187,49,792,0,275,45,45
326,PhD,Divorced,14849,39,21,2,28,3,2
327,Graduation,Married,27255,3,22,1,11,0,1
328,PhD,Married,54432,37,33,0,5,0,0
329,PhD,Single,29999,22,68,7,59,10,5
330,Graduation,Single,24072,79,9,1,6,3,0
331,PhD,Single,33996,46,40,2,15,8,0
332,PhD,Married,66334,82,909,11,218,0,0
333,Master,Married,35178,10,23,1,13,2,2
334,Graduation,Together,22010,51,11,2,9,3,0
335,Graduation,Divorced,62204,38,317,46,247,151,46
336,Graduation,Divorced,75693,10,797,153,293,72,97
337,Graduation,Married,30675,14,10,2,16,11,2
338,Graduation,Together,83003,18,856,61,570,40,25
339,PhD,Together,83532,36,755,144,562,104,64
340,Graduation,Single,68655,95,456,19,832,75,118
341,Graduation,Divorced,41411,11,37,32,38,11,3
342,PhD,Married,55212,65,1103,0,45,0,0
343,PhD,Together,59292,71,378,14,68,19,14
344,Basic,Together,27190,13,1,6,7,0,1
345,Graduation,Divorced,82623,58,204,34,204,172,153
346,Graduation,Married,44300,65,30,0,9,0,0
347,Graduation,Divorced,84835,0,189,104,379,111,189
348,Graduation,Widow,30372,33,15,0,12,7,3
349,Master,Married,33181,90,9,0,3,0,0
350,Graduation,Married,71113,95,495,33,255,11,33
351,Graduation,Married,71952,93,656,80,455,52,107
352,PhD,Single,69759,38,452,20,514,13,30
353,Graduation,Married,72099,18,546,91,410,119,0
354,PhD,Single,60000,57,1048,0,217,0,0
355,Graduation,Single,38643,45,22,2,14,0,1
356,Graduation,Married,50737,61,78,0,11,0,0
357,PhD,Married,68462,6,561,64,785,84,128
358,Master,Married,65073,65,629,17,177,69,0
359,PhD,Together,46681,52,269,15,69,15,19
360,Graduation,Married,78618,87,736,163,818,212,163
361,PhD,Widow,62187,38,512,0,83,0,0
362,Graduation,Married,28442,53,19,3,10,11,8
363,PhD,Married,37717,31,9,0,6,4,1
364,Graduation,Married,51479,67,247,8,160,6,8
365,Graduation,Single,54803,65,404,0,92,28,27
366,Graduation,Married,79530,64,333,0,815,129,42
367,Graduation,Divorced,31615,82,2,3,20,6,11
368,Graduation,Together,72025,27,833,33,549,151,133
369,PhD,Single,52614,63,789,0,142,12,9
371,Graduation,Married,48178,69,159,4,45,6,2
372,Master,Single,29548,52,7,1,6,3,1
373,Graduation,Single,63810,45,977,12,253,16,12
374,PhD,Single,38578,2,38,4,22,3,3
375,Master,Single,46098,86,57,0,27,0,0
376,Graduation,Single,22585,23,3,9,15,13,2
377,Graduation,Single,30279,13,10,4,14,4,4
378,PhD,Together,66426,14,1043,24,97,32,24
379,Graduation,Single,30822,92,3,9,13,2,12
380,PhD,Married,33581,38,11,0,5,0,0
381,Graduation,Married,19986,74,3,6,5,0,2
382,Graduation,Widow,27421,14,43,12,96,78,40
384,Master,Single,36143,33,12,0,1,0,0
385,Graduation,Single,10245,32,4,7,7,6,4
386,Master,Together,43795,11,314,11,53,4,3
387,Graduation,Together,63381,78,571,50,142,33,50
388,Graduation,Together,38823,56,70,0,11,2,8
389,PhD,Divorced,83664,57,866,21,151,28,21
390,Graduation,Together,90300,7,594,134,786,33,134
391,Master,Together,62499,0,140,4,61,0,13
392,Graduation,Single,74293,66,375,152,335,93,91
393,PhD,Married,51012,86,102,9,63,2,9
394,Master,Married,70777,80,554,35,113,0,7
395,PhD,Together,68682,56,919,0,505,99,30
396,Graduation,Married,43824,18,96,1,42,12,3
397,Graduation,Together,15345,51,5,2,16,3,2
398,Graduation,Single,23442,71,2,0,6,8,6
401,Graduation,Together,75276,2,610,105,125,137,42
402,Graduation,Single,42373,83,67,5,61,3,8
403,Graduation,Together,30507,29,65,36,74,38,20
404,PhD,Single,55521,11,416,0,26,0,0
405,Graduation,Married,48006,55,23,0,11,3,2
406,PhD,Single,27213,19,19,3,26,10,9
407,PhD,Divorced,65808,1,155,7,80,13,7
408,PhD,Together,30351,19,14,0,24,3,3
409,Graduation,Married,50437,28,370,9,92,6,9
411,Graduation,Married,53858,50,407,53,221,58,150
412,PhD,Married,66465,1,1200,0,204,38,29
413,Graduation,Single,46923,90,85,44,54,102,78
414,Graduation,Together,75072,83,583,34,309,0,22
415,PhD,Married,75865,73,483,0,591,156,0
417,Graduation,Together,80134,11,966,26,282,52,26
418,Graduation,Single,91065,33,822,114,108,179,137
419,Master,Married,49505,4,604,0,100,19,0
420,PhD,Married,37401,14,19,3,19,3,1
421,Graduation,Married,30096,30,5,3,11,12,5
422,Master,Together,18492,75,2,2,2,2,1
423,Master,Married,82584,26,1076,68,103,29,91
424,PhD,Married,93027,77,1285,42,716,55,0
425,Graduation,Married,48686,8,10,0,7,2,0
426,Graduation,Married,92910,42,551,137,792,179,103
427,Graduation,Married,75433,28,800,0,297,0,34
429,Graduation,Married,61314,1,378,0,189,97,172
430,PhD,Single,84865,1,1248,16,349,43,16
431,Graduation,Married,42387,42,235,0,235,19,4
433,Graduation,Married,75236,27,438,66,400,12,38
434,Graduation,Single,30015,28,25,0,22,2,3
435,Master,Together,50943,49,31,0,7,2,0
436,Graduation,Divorced,67272,12,357,35,271,28,28
437,Master,Widow,51529,14,400,4,35,6,0
438,PhD,Married,32011,89,99,0,15,2,1
440,Graduation,Married,28691,56,5,4,13,8,0
441,PhD,Married,56223,72,77,28,31,16,0
442,Graduation,Married,18100,14,3,1,2,4,3
443,Graduation,Single,30279,13,10,4,14,4,4
445,Graduation,Divorced,23295,72,0,0,1,2,12
446,Master,Divorced,42618,92,76,14,74,13,5
447,Graduation,Single,81246,87,398,190,537,61,156
448,Graduation,Married,24027,7,14,7,11,11,0
449,PhD,Married,55707,91,208,7,82,30,66
450,Graduation,Single,57959,71,430,16,322,43,24
451,Graduation,Married,56796,24,656,38,161,62,47
452,Master,Single,36230,17,14,2,30,8,2
454,Graduation,Married,65991,21,507,19,364,25,47
455,Graduation,Married,38988,90,164,24,103,12,3
457,Master,Married,42207,71,116,11,72,3,17
458,Graduation,Married,50300,52,143,15,60,24,23
460,Graduation,Married,60597,2,522,0,257,32,16
461,Graduation,Widow,70165,60,161,0,253,199,191
462,PhD,Widow,50520,25,112,0,6,2,1
463,Graduation,Married,80124,47,483,84,398,205,84
464,Graduation,Married,33183,46,7,5,39,17,15
465,PhD,Single,66582,83,789,25,420,16,38
466,PhD,Together,75261,17,1239,17,413,23,34
467,Graduation,Widow,31880,13,4,1,5,2,0
468,Graduation,Married,53790,86,335,42,127,28,5
469,PhD,Together,49269,92,639,8,166,11,8
470,Graduation,Married,61456,47,563,76,384,84,192
471,Graduation,Married,37406,18,2,0,8,2,2
472,PhD,Together,56937,81,746,8,125,11,8
473,Graduation,Married,38415,91,22,1,13,4,0
474,Graduation,Single,20518,58,4,1,6,4,1
475,Graduation,Married,62503,40,478,0,193,110,75
476,PhD,Single,41644,67,20,3,4,2,0
477,Master,Married,55842,19,451,0,39,0,4
478,PhD,Married,62010,93,371,22,39,6,0
479,Graduation,Married,41124,41,281,7,84,15,0
480,Master,Married,38961,60,19,7,19,0,1
481,Master,Divorced,37760,54,26,3,13,2,10
482,Graduation,Single,32233,26,138,15,35,25,11
483,Graduation,Married,43057,30,213,2,44,0,2
484,Master,Together,83151,93,407,28,100,120,74
485,PhD,Divorced,78825,35,483,74,114,169,37
486,Master,Together,65104,4,738,0,232,13,20
487,Graduation,Married,60093,92,502,12,109,16,6
488,Graduation,Married,14045,24,11,0,5,2,1
490,PhD,Together,78952,11,1170,19,594,99,76
491,Graduation,Divorced,46310,99,185,2,88,15,5
492,Graduation,Together,76005,72,983,20,389,240,50
493,Master,Single,58308,77,691,0,69,10,0
494,PhD,Divorced,55614,85,504,13,131,8,0
495,Master,Divorced,59432,88,317,25,265,25,19
496,Graduation,Divorced,55563,22,29,1,9,2,0
497,PhD,Together,78642,83,1396,0,322,46,35
498,PhD,Together,67911,63,529,0,356,63,28
499,Graduation,Married,65275,9,388,14,218,91,14
500,Graduation,Together,27203,92,13,2,21,4,0
501,Master,Together,48330,2,28,0,4,0,0
502,Basic,Married,24279,6,16,36,21,20,62
503,PhD,Married,64355,66,1047,0,140,67,38
504,Master,Together,50943,49,31,0,7,2,0
505,Graduation,Widow,53653,29,815,10,239,28,10
506,Graduation,Married,65665,77,225,162,387,106,36
507,Graduation,Single,81217,77,493,70,324,146,40
508,Graduation,Married,34935,71,34,4,66,3,10
509,Graduation,Divorced,61250,49,382,138,65,60,26
510,PhD,Together,39665,97,127,1,56,0,1
511,Graduation,Single,60152,6,325,83,300,86,58
512,Graduation,Married,48920,93,238,17,68,8,10
513,Master,Together,89120,78,1168,92,408,72,129
514,PhD,Together,44124,62,284,0,55,0,6
515,Master,Single,81169,47,1288,20,613,80,61
516,Graduation,Married,36443,9,65,0,46,4,3
517,Graduation,Single,26095,77,11,7,9,3,1
518,Graduation,Together,71367,24,227,23,389,42,21
519,Master,Married,80184,19,1035,134,670,25,38
520,Graduation,Divorced,30630,67,27,1,12,2,0
521,Master,Single,73454,95,982,73,351,56,14
522,Graduation,Married,42691,48,179,2,64,38,17
523,Graduation,Married,70503,73,1379,33,216,0,33
524,Graduation,Married,25545,35,32,1,64,16,12
525,Graduation,Married,32880,76,8,4,15,7,6
526,PhD,Together,77863,20,881,38,319,16,25
527,Master,Married,50353,72,141,15,153,67,31
528,Graduation,Single,61839,20,1000,155,379,224,17
529,PhD,Married,49154,69,206,10,67,30,27
531,Graduation,Single,72679,65,619,54,260,127,54
532,Master,Together,57954,52,456,4,24,0,0
533,Graduation,Married,65316,65,112,6,92,3,9
534,Graduation,Single,28567,57,11,3,22,2,2
535,Master,Together,47352,70,172,12,112,8,0
536,Graduation,Together,44931,0,78,0,11,0,0
537,Graduation,Divorced,76982,19,464,151,292,65,60
539,Master,Single,22944,67,19,3,19,4,5
541,Graduation,Widow,43638,37,63,10,83,7,19
542,PhD,Single,42710,38,252,3,42,4,3
543,PhD,Married,84169,9,1478,19,403,0,19
544,Graduation,Together,54058,56,198,18,252,32,108
546,Graduation,Widow,85620,68,416,46,925,60,107
547,Graduation,Married,47850,72,42,7,43,20,12
548,Graduation,Married,19514,47,14,3,21,2,1
549,Master,Married,27159,33,17,0,3,0,0
551,Graduation,Single,21474,0,6,16,24,11,0
552,PhD,Single,60504,73,458,0,24,6,4
553,Graduation,Married,22419,74,30,3,47,19,21
554,Master,Married,81698,4,179,28,520,111,123
555,Graduation,Together,43462,50,90,17,97,15,6
556,PhD,Single,54880,57,308,85,137,102,45
557,Graduation,Married,79908,30,557,129,761,29,185
559,Graduation,Together,87771,61,1492,38,287,50,57
560,Graduation,Married,33039,4,30,8,12,8,8
561,Graduation,Single,81741,75,249,153,940,58,134
562,Master,Together,71499,12,465,25,132,136,0
564,PhD,Divorced,48799,9,174,18,81,28,6
565,PhD,Together,52157,48,189,2,29,3,2
566,Graduation,Single,66565,80,747,10,161,65,40
567,Master,Together,29298,60,6,0,2,2,0
