,Education,Marital_Status,Income,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds
568,Graduation,Single,47691,43,14,0,3,0,0
569,Graduation,Together,38200,19,12,0,4,0,0
570,Graduation,Married,44989,26,98,0,106,49,10
571,PhD,Married,38443,58,32,0,5,0,0
573,PhD,Together,64413,27,200,5,44,0,10
574,Master,Married,36959,56,25,6,25,6,0
575,PhD,Married,61996,27,1050,12,144,0,0
576,Graduation,Married,51287,10,117,0,22,13,0
577,Graduation,Married,13260,48,9,4,17,10,2
578,PhD,Together,47472,39,56,0,11,0,0
579,Master,Together,54603,85,145,13,46,17,2
580,PhD,Married,45207,64,203,0,10,0,0
581,Graduation,Together,40689,69,270,3,27,39,6
583,Master,Married,27450,57,37,12,23,8,11
584,Graduation,Together,39453,64,46,0,7,0,0
586,Graduation,Widow,79800,65,1060,21,530,32,0
587,Master,Married,61794,74,264,47,188,54,47
588,Graduation,Together,53863,4,399,4,30,6,4
589,Graduation,Together,24221,94,8,9,9,2,5
590,PhD,Single,39684,41,19,0,35,6,4
591,Master,Married,92163,25,817,183,797,106,163
592,Master,Single,69882,94,292,127,635,132,127
593,Graduation,Together,33178,9,12,6,2,11,2
594,PhD,Married,59973,47,130,30,168,20,34
595,Master,Together,17459,12,6,4,16,3,10
596,Graduation,Divorced,23910,80,16,12,18,7,1
597,Master,Married,42169,20,19,0,9,0,0
599,Graduation,Together,31089,57,31,3,31,2,8
600,Graduation,Single,30081,27,36,0,2,0,0
601,Graduation,Together,62807,83,526,28,135,10,21
602,Graduation,Single,72906,79,400,32,519,71,75
603,PhD,Married,61467,69,410,16,114,0,5
604,Master,Together,49618,77,80,3,26,4,2
605,Master,Single,21888,15,88,10,46,2,3
606,Graduation,Widow,42429,99,55,0,6,2,0
607,Graduation,Divorced,26150,61,5,1,13,3,5
608,Basic,Married,30801,23,8,4,5,15,2
609,Graduation,Married,81168,84,410,0,592,147,22
610,Master,Single,26877,74,101,13,76,20,18
611,Master,Widow,45006,90,162,25,53,16,0
612,Basic,Married,18978,41,2,8,1,4,7
613,Graduation,Married,22574,28,25,0,8,2,0
614,PhD,Single,48240,73,389,91,248,64,49
615,Graduation,Married,45837,88,215,13,87,17,17
616,Master,Single,35791,94,27,0,5,0,0
617,PhD,Together,162397,31,85,1,16,2,1
618,Graduation,Widow,54162,31,5,6,10,6,5
619,Master,Married,30522,6,179,8,83,19,11
620,PhD,Married,54456,23,352,0,27,10,0
621,Graduation,Single,31632,92,17,8,12,11,15
622,Graduation,Widow,72298,52,625,35,169,58,17
625,Graduation,Married,13624,93,10,2,15,2,1
626,Graduation,Single,84196,56,215,63,507,231,31
627,Graduation,Together,70971,28,1001,17,572,93,125
628,PhD,Divorced,34487,94,19,18,33,24,1
629,Graduation,Single,28769,76,41,5,129,10,3
630,PhD,Married,69084,43,1181,107,199,39,30
631,PhD,Together,65488,46,603,45,207,36,18
634,Graduation,Single,83917,12,514,22,732,42,198
635,Graduation,Divorced,46102,3,14,0,1,0,0
636,Graduation,Single,84574,72,387,20,713,38,54
637,Graduation,Married,56181,6,121,103,69,8,44
638,Master,Divorced,63120,53,965,69,279,54,41
639,Graduation,Married,73691,58,707,21,250,85,43
640,Graduation,Together,63381,78,571,50,142,33,50
641,PhD,Together,76140,57,586,66,653,17,0
642,PhD,Divorced,62859,37,1063,89,102,16,12
643,Graduation,Single,45906,20,305,3,27,4,3
644,Master,Together,77632,73,1200,105,758,0,42
645,PhD,Married,46463,56,163,2,40,8,11
646,Graduation,Together,105471,36,1009,181,104,202,21
647,Master,Divorced,55282,9,125,6,73,8,4
648,Master,Married,78710,42,721,0,152,119,50
649,Graduation,Together,66886,28,315,4,62,41,31
650,Master,Single,98777,23,1000,19,711,125,115
651,Graduation,Together,29103,38,16,0,17,6,3
652,Graduation,Married,67445,63,757,80,217,29,80
653,PhD,Together,50616,71,30,2,25,0,1
654,Graduation,Divorced,49431,9,219,3,100,26,0
655,Graduation,Divorced,153924,81,1,1,1,1,1
656,Graduation,Together,61278,87,111,3,28,2,6
658,PhD,Together,73059,36,410,112,420,0,82
659,PhD,Single,46734,86,100,1,39,6,1
660,Graduation,Together,56253,83,509,0,65,7,11
661,Graduation,Married,19986,74,3,6,5,0,2
662,Graduation,Widow,58330,87,445,53,213,104,98
663,Basic,Married,25965,29,2,2,11,41,7
664,Master,Together,14661,88,4,1,11,6,2
665,Graduation,Married,18690,77,6,1,7,23,4
666,PhD,Together,45068,25,14,0,3,0,0
667,Basic,Single,21063,34,1,10,11,19,3
668,PhD,Married,29187,43,26,0,6,0,0
670,PhD,Married,59304,81,418,61,428,80,51
671,Master,Single,59247,87,327,9,122,19,14
672,Graduation,Widow,66731,33,371,159,194,58,106
673,Graduation,Married,77353,38,275,59,107,69,101
674,PhD,Single,52614,63,789,0,142,12,9
675,Graduation,Married,26751,26,1,1,5,0,3
676,PhD,Married,81300,17,1004,12,145,32,12
677,Graduation,Single,70337,75,187,81,149,25,43
679,PhD,Single,65295,19,365,32,117,34,110
680,Graduation,Divorced,68118,51,595,23,123,10,23
681,Graduation,Divorced,68743,81,1132,134,384,175,134
683,Graduation,Together,38946,84,116,6,82,6,6
684,Graduation,Together,65777,87,565,32,435,28,32
685,PhD,Divorced,66476,99,372,18,126,47,48
686,PhD,Single,86857,96,899,102,838,133,102
687,PhD,Married,160803,21,55,16,1622,17,3
688,PhD,Together,77845,40,760,40,480,0,40
689,PhD,Together,69476,3,260,86,559,63,9
690,PhD,Divorced,50611,98,459,0,24,6,0
691,Graduation,Single,61209,73,466,0,224,119,49
692,Master,Together,42315,90,67,15,80,17,11
693,Basic,Together,13084,29,2,0,7,3,7
694,Master,Widow,47570,3,67,1,20,0,2
695,Master,Married,61923,94,92,4,18,3,3
696,Graduation,Single,34824,65,4,2,11,2,0
697,PhD,Single,26518,33,20,1,28,3,3
698,Graduation,Single,45938,46,273,11,178,62,83
699,Graduation,Together,78468,29,434,22,388,104,22
700,Graduation,Divorced,78901,99,321,11,309,33,26
701,Graduation,Married,71427,26,212,123,177,15,64
702,Graduation,Divorced,71022,30,909,12,278,0,12
703,Master,Single,90247,27,1184,32,352,21,16
704,Master,Divorced,41335,24,112,19,21,16,14
705,Graduation,Married,71952,93,656,80,455,52,107
706,PhD,Divorced,35682,34,23,0,8,6,2
707,Graduation,Divorced,43185,88,537,6,42,16,6
708,PhD,Together,66375,96,712,0,45,0,0
709,Master,Married,35178,10,23,1,13,2,2
710,Graduation,Married,25252,26,1,3,4,2,2
711,Master,Single,55250,49,664,58,83,32,0
712,Graduation,Single,33249,11,6,10,21,19,14
713,Graduation,Together,58398,44,299,5,201,21,21
714,Graduation,Together,50272,75,99,13,66,43,8
715,PhD,Married,76618,64,749,40,294,121,160
717,Graduation,Together,25851,45,9,4,18,7,5
718,Graduation,Divorced,58710,77,440,81,368,0,122
719,Graduation,Single,45160,9,8,2,5,3,0
720,Master,Married,74806,1,670,9,249,0,28
721,Graduation,Married,59111,90,524,0,134,28,28
722,PhD,Married,18988,43,6,0,6,2,1
723,Graduation,Married,72190,79,597,166,597,172,166
724,Graduation,Married,7500,19,7,0,12,13,7
725,Graduation,Married,44794,99,54,0,7,0,0
726,Graduation,Married,80395,62,445,25,706,80,76
727,Master,Divorced,75012,41,294,142,218,164,58
728,Master,Married,56962,60,292,3,77,10,3
729,Graduation,Together,89891,17,412,22,132,59,28
730,PhD,Divorced,35946,24,8,0,3,0,0
731,PhD,Together,53593,60,349,4,78,6,0
732,Graduation,Married,66373,57,328,9,124,12,24
733,PhD,Divorced,45072,74,144,2,99,7,2
734,Graduation,Divorced,89694,22,1126,28,211,37,28
735,Graduation,Married,72025,46,967,0,617,43,50
736,Graduation,Married,67432,69,432,79,341,177,136
737,Master,Together,70545,29,138,39,63,55,18
738,Basic,Married,17487,37,0,0,1,7,4
739,Graduation,Together,62882,26,509,133,497,78,24
740,PhD,Single,64108,8,948,10,86,13,21
741,Master,Together,34941,26,39,2,25,4,3
742,PhD,Single,48767,79,28,1,21,3,0
744,Graduation,Married,82224,83,307,26,360,138,31
745,Graduation,Together,83844,57,901,31,345,75,31
747,Graduation,Single,71163,30,283,17,372,138,106
748,Graduation,Single,33697,34,4,3,7,0,3
750,PhD,Together,83443,89,518,42,742,55,56
751,PhD,Together,51518,92,350,8,66,17,4
752,Graduation,Widow,58330,87,445,53,213,104,98
753,Graduation,Married,80952,20,778,178,689,41,27
754,Graduation,Together,75507,56,709,93,374,104,80
756,PhD,Together,62220,55,799,12,375,16,12
757,Graduation,Married,58512,25,895,10,101,13,0
758,Master,Married,40662,0,40,2,23,0,4
759,PhD,Married,38829,86,76,0,7,0,0
761,Graduation,Single,79146,33,245,16,223,21,43
762,Master,Married,78285,13,647,107,391,175,67
763,PhD,Single,31626,12,39,1,9,2,1
764,Graduation,Single,75127,92,203,35,305,46,17
765,Graduation,Married,48726,90,138,3,38,4,0
766,Graduation,Married,74985,8,587,51,898,247,0
767,Graduation,Together,67430,6,595,97,291,127,133
769,Master,Married,62058,52,301,7,74,10,0
770,Graduation,Married,72063,3,180,32,348,76,32
771,PhD,Married,78939,57,794,115,243,150,0
772,Graduation,Single,42720,9,392,5,91,28,26
773,Graduation,Married,33622,22,39,1,22,3,4
774,PhD,Together,6835,76,107,2,12,2,2
775,Graduation,Together,41452,86,13,0,3,0,0
776,PhD,Single,40760,64,70,0,17,0,0
777,PhD,Together,74250,90,680,11,392,75,0
778,Master,Single,51124,79,26,1,11,0,1
779,Graduation,Single,72258,28,522,0,522,227,120
780,PhD,Single,71466,86,412,12,546,78,182
781,Graduation,Together,36283,42,6,5,5,8,0
782,Graduation,Single,20587,39,2,3,6,4,1
783,Graduation,Married,30467,8,1,3,8,2,5
784,Graduation,Together,31590,40,6,2,15,6,6
785,Basic,Married,20425,5,4,12,5,3,16
786,Master,Together,17144,96,18,2,19,0,2
787,PhD,Divorced,42564,28,324,48,186,39,18
788,Master,Married,43783,22,327,9,125,25,4
789,Graduation,Divorced,40780,30,229,27,71,13,3
790,Master,Together,62847,45,521,168,706,80,76
791,PhD,Married,82017,58,184,23,446,30,23
792,Graduation,Single,16813,49,4,8,11,12,2
793,Graduation,Married,51267,37,183,2,64,7,2
794,Graduation,Single,46524,70,31,19,35,26,14
795,Master,Single,45183,33,219,3,60,12,9
796,PhD,Married,70421,98,479,28,136,75,14
798,Graduation,Together,73926,54,627,91,597,159,91
799,Graduation,Married,19329,39,24,1,16,12,2
800,Master,Married,61872,81,330,5,159,36,27
801,Graduation,Widow,46984,71,19,1,10,2,1
802,Graduation,Married,34838,62,28,23,29,29,14
803,PhD,Single,82716,8,606,148,228,15,148
804,Graduation,Married,48192,76,1039,43,204,153,58
805,Master,Married,49681,66,411,0,26,0,0
806,Master,Married,56850,83,34,1,19,2,7
807,Graduation,Married,55267,28,161,28,136,32,3
808,Graduation,Married,59666,87,623,53,178,23,17
809,Graduation,Single,72504,43,604,26,470,123,161
810,Graduation,Married,26872,0,3,10,8,3,16
811,Graduation,Single,21359,1,12,2,17,6,1
812,Graduation,Single,73170,1,184,174,256,50,30
813,Master,Married,52750,72,393,0,239,90,69
814,PhD,Together,91820,72,410,73,747,76,161
815,PhD,Together,65968,12,376,9,83,19,4
816,Graduation,Married,30772,89,7,2,4,2,1
817,Graduation,Single,22507,67,68,0,226,51,157
818,Graduation,Married,65685,54,642,14,49,0,7
820,PhD,Single,76412,15,840,53,804,23,71
821,Graduation,Married,22063,43,7,10,13,3,11
822,Graduation,Single,57091,0,464,5,64,7,0
823,Graduation,Married,22419,74,30,3,47,19,21
824,Graduation,Together,87771,61,1492,38,287,50,57
826,Graduation,Married,93404,97,1279,15,287,20,0
827,Graduation,Divorced,37859,75,22,1,8,2,1
828,PhD,Widow,80995,83,860,28,409,73,56
829,Graduation,Together,16529,23,3,0,5,13,0
830,PhD,Divorced,55412,65,10,5,28,11,1
831,Graduation,Single,48789,94,351,16,156,7,5
832,PhD,Together,56575,42,421,5,90,0,16
834,Graduation,Married,35441,94,25,1,9,2,1
835,Graduation,Married,71391,50,336,123,274,46,123
836,Master,Single,49494,46,191,9,97,0,6
837,Graduation,Divorced,81702,98,563,50,774,28,31
839,Graduation,Single,56628,30,479,5,82,7,17
840,Graduation,Together,34026,11,18,6,15,12,8
841,Graduation,Married,40049,61,91,65,52,10,44
842,Graduation,Single,34176,12,5,7,24,19,14
843,Graduation,Married,19419,76,2,14,28,16,3
845,Graduation,Together,81205,43,724,74,929,97,55
847,Master,Single,55284,60,547,7,140,0,7
848,Graduation,Single,49980,79,104,1,54,13,9
849,Graduation,Married,15072,96,8,2,15,0,10
850,Graduation,Single,49166,17,224,2,25,7,0
851,PhD,Married,65324,0,384,0,102,21,32
853,PhD,Together,30843,43,24,0,2,0,0
854,PhD,Married,46374,1,408,0,21,0,0
855,Graduation,Single,60474,25,265,199,303,234,9
856,Master,Married,38576,2,34,0,7,0,0
857,Graduation,Married,55357,66,374,64,116,84,25
858,Graduation,Together,37758,49,27,2,10,0,0
860,Graduation,Together,23228,71,13,2,18,6,1
861,Master,Together,44602,35,167,2,89,0,0
862,Graduation,Married,7500,94,0,2,3,4,1
865,PhD,Together,57906,29,243,11,119,10,3
866,Master,Single,43456,0,275,11,68,25,7
867,Master,Single,19485,80,6,0,4,0,0
868,Graduation,Together,53172,54,121,62,90,68,20
869,Graduation,Together,30545,71,4,12,15,19,7
870,PhD,Together,70123,27,1308,0,396,23,0
871,Graduation,Single,62450,61,515,47,267,62,66
872,Graduation,Together,21675,55,4,0,16,17,4
874,Master,Together,61346,34,562,58,168,43,16
875,Graduation,Together,80812,95,769,22,500,210,143
876,Master,Divorced,42835,64,379,4,93,12,9
877,Graduation,Married,39922,30,29,12,59,19,1
878,Master,Single,86424,12,387,68,569,89,45
880,Graduation,Single,24762,16,6,10,12,3,15
881,Graduation,Married,35797,16,27,1,14,4,1
882,Graduation,Divorced,36627,78,9,1,5,0,0
884,PhD,Single,86857,96,899,102,838,133,102
885,PhD,Together,82072,67,889,55,685,168,92
886,PhD,Single,46231,87,189,2,55,0,5
887,Graduation,Married,42243,34,48,0,2,0,0
888,Graduation,Together,51195,46,230,14,156,82,24
889,Master,Single,68092,7,852,60,207,78,36
890,Graduation,Married,31814,73,35,3,20,4,1
891,Master,Widow,51390,54,205,20,47,23,2
892,Graduation,Married,76630,93,255,31,446,40,56
893,Basic,Single,26868,52,0,0,1,8,3
894,PhD,Divorced,48948,53,437,8,206,160,49
895,PhD,Single,55260,81,825,8,53,11,0
896,Graduation,Together,64090,8,316,58,161,76,51
897,Graduation,Divorced,78331,97,756,138,354,160,169
898,PhD,Married,37087,50,194,55,134,15,0
899,Graduation,Divorced,21846,38,7,17,18,6,10
900,Graduation,Married,81320,61,183,33,493,59,103
901,Graduation,Divorced,54137,46,171,0,11,0,1
902,Graduation,Together,66825,73,243,101,405,29,40
903,Graduation,Together,57100,19,181,21,69,39,3
904,Graduation,Together,58917,10,151,7,89,0,7
905,Graduation,Single,85072,94,494,92,391,194,11
906,Graduation,Single,86429,10,464,28,873,29,18
907,Graduation,Widow,45684,37,5,1,5,10,0
908,Graduation,Together,47889,94,29,0,29,0,5
909,PhD,Married,45921,23,102,9,49,24,3
910,PhD,Single,78420,75,604,28,674,91,28
911,Graduation,Together,75114,40,571,12,523,63,60
912,PhD,Widow,52278,24,953,0,71,0,0
913,Master,Married,35641,11,63,3,67,8,9
914,Graduation,Single,95529,29,770,29,890,250,27
915,Graduation,Married,62820,51,398,61,265,138,61
916,Master,Together,73113,86,741,19,154,50,9
917,PhD,Married,84169,9,1478,19,403,0,19
919,PhD,Single,74637,73,960,64,464,146,0
920,PhD,Together,46015,25,38,0,2,0,0
921,Graduation,Single,72354,67,315,26,473,220,12
922,Master,Single,39858,67,15,20,25,2,7
923,PhD,Married,34469,58,19,6,20,0,5
924,Graduation,Together,83033,82,812,99,431,237,149
925,Master,Together,24401,98,73,28,217,10,24
926,Graduation,Married,77583,93,372,23,384,250,12
928,Graduation,Single,74293,66,375,152,335,93,91
929,PhD,Married,68397,6,760,80,466,17,13
930,PhD,Together,79632,42,471,0,510,99,21
931,Graduation,Single,46107,78,31,9,27,16,9
932,PhD,Single,64950,29,819,0,72,12,0
933,Basic,Married,25443,82,1,4,3,8,9
934,Graduation,Single,75127,92,203,35,305,46,17
935,PhD,Together,32892,78,26,0,15,2,1
936,Graduation,Together,71796,54,354,21,311,167,75
937,PhD,Married,67536,45,1253,0,447,23,71
938,Graduation,Single,55239,59,371,17,238,23,24
939,PhD,Divorced,60554,8,588,7,76,110,15
941,PhD,Together,56067,51,517,12,54,16,6
942,Graduation,Divorced,82025,76,267,98,606,48,70
943,Graduation,Together,94384,62,1111,24,790,160,45
944,Basic,Single,14906,86,7,7,14,7,16
945,PhD,Married,51563,60,1166,0,48,0,0
947,Graduation,Divorced,68274,83,135,25,51,23,25
948,Graduation,Together,39771,92,6,2,18,2,8
950,PhD,Together,27922,80,11,0,13,2,4
951,PhD,Together,52190,39,42,0,17,0,0
952,Master,Divorced,44051,20,79,7,58,6,3
953,PhD,Single,42767,53,20,6,43,19,5
954,Master,Together,46106,84,30,0,8,2,0
955,PhD,Married,16927,50,20,2,23,3,1
956,Graduation,Married,59754,96,115,27,44,4,146
957,Graduation,Single,53700,94,263,5,233,69,41
958,Graduation,Married,59041,25,69,2,15,2,2
959,PhD,Divorced,54237,48,267,3,30,4,0
960,Graduation,Divorced,70647,65,561,85,171,25,123
961,PhD,Single,52597,69,492,0,37,7,0
962,Master,Together,41021,12,14,7,9,6,16
963,PhD,Married,40233,84,80,4,46,0,17
964,Graduation,Married,50183,47,97,12,84,13,10
965,Graduation,Together,54753,87,197,107,227,7,59
966,Graduation,Married,92955,35,693,21,925,31,24
967,Graduation,Married,33471,47,43,2,27,0,9
968,PhD,Married,34596,48,14,0,2,0,0
969,Graduation,Together,44010,46,186,36,234,86,72
970,Graduation,Married,84219,27,434,137,400,45,137
971,PhD,Together,40706,37,59,0,11,4,2
974,Master,Together,80573,85,829,138,430,60,92
975,Graduation,Married,83715,2,318,8,407,150,35
976,Master,Together,82576,66,1206,55,445,168,18
977,Master,Married,56962,60,292,3,77,10,3
978,Graduation,Married,35704,54,30,9,12,2,11
979,Graduation,Together,53103,70,729,17,133,11,0
981,Graduation,Divorced,4861,20,2,1,1,1,0
982,Master,Divorced,33462,78,22,3,18,0,0
983,Graduation,Divorced,63693,63,587,43,337,42,87
984,Graduation,Married,80763,17,674,168,108,192,42
985,PhD,Married,65352,43,284,3,84,4,7
986,PhD,Married,82170,13,1023,93,651,49,55
987,Graduation,Married,75759,46,1394,22,708,89,91
989,PhD,Widow,35340,1,27,0,12,0,1
990,Graduation,Divorced,85683,6,1296,17,311,45,69
992,Master,Together,42021,34,393,5,136,7,5
993,Graduation,Single,64449,70,218,63,282,137,35
994,Graduation,Divorced,64587,49,66,0,16,0,6
995,Graduation,Single,34824,65,4,2,11,2,0
996,Graduation,Together,75437,25,795,0,545,95,58
997,Graduation,Together,26091,84,15,10,19,8,17
998,Graduation,Married,52845,7,384,25,292,130,41
999,Graduation,Divorced,46086,34,244,8,32,7,2
1000,PhD,Widow,78028,38,158,19,288,25,0
1001,PhD,Single,95169,1,1285,21,449,106,20
1003,Graduation,Together,22434,25,4,12,11,3,13
1004,PhD,Married,36930,50,223,2,31,0,2
1005,Graduation,Single,36130,46,157,43,127,68,56
1006,Master,Married,65569,96,397,46,288,20,38
1007,Graduation,Together,83844,57,901,31,345,75,31
1008,Graduation,Married,19514,47,14,3,21,2,1
1009,PhD,Single,36736,52,10,0,3,0,0
1010,Graduation,Together,77568,30,1230,0,396,232,178
1011,PhD,Together,49187,63,81,1,31,2,1
1012,Graduation,Single,30168,51,154,20,66,0,12
1013,Master,Together,34053,14,63,0,21,7,0
1014,Master,Married,38196,20,30,0,11,0,0
1015,Master,Married,59412,56,90,67,165,30,43
1017,Graduation,Together,54165,72,127,4,73,15,6
1018,Graduation,Married,32300,1,13,3,6,6,5
1019,Graduation,Single,20180,27,18,42,24,15,20
1020,Graduation,Married,34961,77,45,2,26,4,1
1021,PhD,Together,28440,87,38,1,24,0,0
1022,PhD,Together,64504,81,986,36,168,16,0
1023,Master,Together,33564,51,61,0,3,0,0
1024,Graduation,Married,17345,79,4,9,16,17,0
1025,PhD,Married,56320,11,201,53,172,116,77
1026,Graduation,Single,28647,54,19,8,29,0,12
1027,Basic,Single,15038,93,4,8,11,19,12
1028,PhD,Divorced,32173,0,18,0,2,0,0
1030,Graduation,Together,74538,21,380,98,733,110,112
1031,Graduation,Single,91700,58,576,172,961,125,115
1032,Graduation,Together,68695,3,458,81,356,106,50
1034,Graduation,Married,79593,70,350,60,568,110,133
1035,Graduation,Single,28071,65,39,33,130,41,26
1036,PhD,Together,37334,44,26,1,16,2,2
1037,Master,Single,46423,6,68,0,16,0,0
1038,PhD,Married,37126,9,45,3,9,4,4
1039,Graduation,Married,47703,95,359,0,134,13,26
1040,Graduation,Married,61180,70,403,24,29,6,24
1041,Graduation,Married,38998,92,34,1,14,0,0
1042,Graduation,Single,8028,62,73,18,66,7,12
1043,Graduation,Together,76081,85,292,30,415,63,33
1044,Graduation,Together,34728,2,14,0,16,0,0
1045,Master,Single,33168,0,80,1,37,0,1
1046,Master,Married,33585,91,30,11,33,13,6
1047,PhD,Married,77037,3,463,96,333,168,53
1048,Graduation,Together,35196,68,75,12,141,43,39
1049,Graduation,Married,44529,98,538,13,91,17,6
1051,PhD,Together,28764,16,8,0,3,0,0
1052,PhD,Married,69098,82,1315,22,780,145,0
1054,Master,Married,27100,64,12,0,13,2,0
1055,Graduation,Single,70596,68,347,44,534,17,0
1056,Graduation,Married,42557,98,192,5,53,0,5
1057,PhD,Married,53312,32,241,0,12,0,0
1058,Graduation,Single,72228,87,631,28,491,30,14
1059,Graduation,Together,67605,84,336,28,282,184,54
1060,Master,Married,62845,3,1099,0,45,0,0
1061,Graduation,Together,65196,34,743,19,181,12,0
1062,PhD,Single,42000,23,124,83,267,85,59
1063,PhD,Divorced,35860,37,15,0,8,4,2
1064,PhD,Married,65526,22,397,19,69,12,0
1065,Graduation,Married,16860,19,10,4,4,3,3
1066,Graduation,Single,83528,7,530,117,678,134,44
1068,Graduation,Divorced,22304,91,3,2,7,0,4
1069,Graduation,Married,67023,93,444,44,382,11,8
1070,PhD,Together,32892,78,26,0,15,2,1
1071,Graduation,Together,70713,23,736,114,279,82,76
1072,Graduation,Together,59925,83,473,21,176,19,21
1073,Graduation,Married,39722,92,32,0,5,2,0
1074,Graduation,Together,46610,4,288,10,30,4,10
1075,Graduation,Together,88347,32,1050,178,555,77,138
1076,PhD,Married,87171,27,1001,44,107,58,44
1078,Master,Single,50014,9,234,14,77,19,10
1079,PhD,Married,41014,65,7,2,6,2,0
1080,Graduation,Single,66294,68,251,108,334,65,92
1081,Graduation,Married,36715,16,172,10,125,21,13
1082,Graduation,Married,79456,12,565,42,548,64,83
1083,Graduation,Together,40479,95,5,0,8,2,0
1084,Master,Single,75345,16,918,57,842,99,38
1085,Graduation,Married,54233,46,652,8,158,21,0
1086,Graduation,Single,24163,3,4,1,7,2,1
1087,PhD,Together,84460,80,152,27,103,106,54
1088,Graduation,Together,43776,77,8,0,9,2,1
1089,PhD,Single,71691,0,336,130,411,240,32
1090,PhD,Married,85844,62,938,19,843,25,95
1091,PhD,Single,39190,91,68,8,18,19,8
1092,Graduation,Together,71367,24,227,23,389,42,21
1093,PhD,Single,38578,2,38,4,22,3,3
1094,PhD,Married,57236,22,105,0,9,2,1
1095,Graduation,Single,61825,56,162,50,100,55,30
1096,Graduation,Divorced,79803,54,574,8,216,21,16
1098,Master,Together,27590,38,6,0,5,0,0
1099,Graduation,Married,56775,62,614,35,160,58,35
1100,Graduation,Divorced,83829,78,897,161,430,186,161
1102,Graduation,Married,38508,95,120,19,206,25,19
1103,Graduation,Together,53187,66,211,2,30,7,7
1104,Graduation,Married,30023,28,11,0,16,7,6
1105,PhD,Single,76045,78,760,53,400,17,93
1106,PhD,Married,50870,13,53,0,8,0,0
1109,Graduation,Married,66480,71,199,9,57,20,21
1110,Graduation,Divorced,76773,79,516,56,449,86,33
1112,PhD,Single,54466,78,12,0,4,0,0
1113,Master,Single,98777,23,1000,19,711,125,115
1114,PhD,Single,16269,75,19,3,18,3,1
1115,Graduation,Together,71819,70,1224,28,140,0,14
1116,PhD,Married,33569,10,16,2,18,3,0
1117,Master,Married,36262,24,88,39,54,64,28
1118,Basic,Together,22634,47,2,23,11,8,6
1120,Graduation,Single,70566,4,381,28,215,84,28
1121,PhD,Married,31605,15,74,0,42,2,1
1122,Master,Divorced,52034,67,146,0,93,7,13
1123,Graduation,Single,48526,32,23,17,23,43,20
1124,Graduation,Married,46734,40,110,5,137,26,23
1125,Graduation,Divorced,39552,54,165,3,147,4,24
1126,Graduation,Single,86358,78,957,47,494,82,47
1127,Graduation,Together,46931,94,41,0,17,3,1
1128,Basic,Single,16581,51,1,3,4,2,3
1130,Master,Married,67381,67,815,8,53,11,0
1131,Graduation,Single,25930,87,6,1,2,2,0
1132,Graduation,Married,42693,29,8,4,20,6,3
